ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1,Maharashtra,Pune,Pune Central,Apartment,5,2709,581.12,21451.58,2013,Fully Furnished,10,18,11,2,5,Low,Single,High,Visitor Parking,East,Owner,Ready to Move
2,Rajasthan,Jaipur,Jaipur Central,Apartment,2,757,69.4,9168.26,1996,Semi-Furnished,2,7,28,4,0,Low,Double,High,Gym,South-East,Owner,Resale
3,Uttar Pradesh,Noida,Noida Central,Apartment,2,1151,143.91,12503.38,1999,Unfurnished,11,13,25,5,3,Medium,Double,Low,"Club House,Gym,Lift,Garden,Visitor Parking,Swimming Pool",West,Owner,Ready to Move
4,Karnataka,Bangalore,Bangalore Outskirts,Apartment,1,540,84.99,15739.25,1994,Semi-Furnished,2,5,30,1,1,Low,Double,Medium,Play Area,East,Owner,Ready to Move
5,Rajasthan,Jaipur,Jaipur Outskirts,Apartment,3,921,85.65,9299.86,2021,Fully Furnished,6,7,3,3,5,Low,Single,Medium,"CCTV,Gym,Power Backup,Swimming Pool",North-West,Owner,Resale
6,Uttar Pradesh,Lucknow,Lucknow Suburban,Apartment,2,1128,84.72,7510.44,2002,Fully Furnished,29,38,22,0,2,Low,Single,Medium,"Lift,Play Area,Power Backup,Visitor Parking",North,Builder,Ready to Move
7,Maharashtra,Nagpur,Nagpur Central,Apartment,2,1089,91.82,8431.78,1991,Fully Furnished,0,5,33,4,3,Medium,Single,Medium,"CCTV,Club House,Intercom,Swimming Pool,Garden,Power Backup",East,Agent,Resale
8,Gujarat,Surat,Surat Suburban,Apartment,2,1112,113.02,10163.6,2021,Semi-Furnished,18,22,3,6,3,High,Single,Medium,"Play Area,Power Backup,Garden,Club House,Visitor Parking,Lift,Swimming Pool",South-West,Agent,Under Construction
9,Uttar Pradesh,Lucknow,Lucknow Suburban,Apartment,4,1539,114.76,7457.09,2013,Semi-Furnished,2,6,11,5,0,Medium,None,Low,"Swimming Pool,CCTV,Power Backup,Visitor Parking,Gym",South,Builder,Under Construction
10,Uttar Pradesh,Noida,Noida Outskirts,Apartment,2,1205,105.8,8779.69,1992,Semi-Furnished,7,14,32,0,0,Medium,Single,Medium,"Garden,Gym,Swimming Pool,Play Area,Visitor Parking",North-West,Owner,Under Construction
11,West Bengal,Kolkata,Kolkata Central,Studio,3,1122,148.96,13275.85,2018,Semi-Furnished,4,12,6,0,5,High,Double,High,"Intercom,Garden,CCTV,Lift,Play Area,Swimming Pool",South,Agent,Ready to Move
